family,N,seed,n_train,n_val,n_test,epochs,batch_size,final_batch_size,best_epoch,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
oxide,100,4,90,10,1484,50,16,16,14.0,0.0001,0.038285568407504515,0.012268544185078806,0.027794066816568375,cuda,57.69627022743225,Results_Hyperparameter_Set_1/oxide/N100_seed4/finetune_last2/summary.json
oxide,200,0,180,20,1484,50,16,16,,0.0001,0.05364166763080836,0.02721473475297292,0.03135932236909866,cpu,616.3076782226562,Results_Hyperparameter_Set_1/oxide/N200_seed0/finetune_last2/summary.json
oxide,200,1,180,20,1484,50,16,16,,0.0001,0.053726968007642935,0.038203918457859094,0.03322415053844452,cpu,664.1047039031982,Results_Hyperparameter_Set_1/oxide/N200_seed1/finetune_last2/summary.json
oxide,200,2,180,20,1484,50,16,16,,0.0001,0.04785101492107893,0.02787067781577611,0.029077453538775444,cpu,600.0372438430786,Results_Hyperparameter_Set_1/oxide/N200_seed2/finetune_last2/summary.json
oxide,200,3,180,20,1484,50,16,16,40.0,0.0001,0.0361465084100722,0.007328081876039505,0.013465349562466145,cuda,75.85002660751343,Results_Hyperparameter_Set_1/oxide/N200_seed3/finetune_last2/summary.json
oxide,200,4,180,20,1484,50,16,16,38.0,0.0001,0.03713763155111531,0.006962482713990741,0.019353017210960388,cuda,76.64601063728333,Results_Hyperparameter_Set_1/oxide/N200_seed4/finetune_last2/summary.json
oxide,500,0,450,50,1484,50,16,16,,0.0001,0.04710622004661935,0.02885432698763907,0.021461323369294405,cpu,1199.9444212913513,Results_Hyperparameter_Set_1/oxide/N500_seed0/finetune_last2/summary.json
oxide,500,1,450,50,1484,50,16,16,,0.0001,0.048688744135656596,0.028134605627920892,0.03870267514139414,cpu,1135.684612751007,Results_Hyperparameter_Set_1/oxide/N500_seed1/finetune_last2/summary.json
oxide,500,2,450,50,1484,50,16,16,,0.0001,0.04664558848611523,0.025862410594450515,0.02519617136567831,cpu,971.7053537368774,Results_Hyperparameter_Set_1/oxide/N500_seed2/finetune_last2/summary.json
oxide,500,3,450,50,1484,50,16,16,28.0,0.0001,0.03617321007594471,0.008500465166030658,0.011019670171663165,cuda,127.95030188560486,Results_Hyperparameter_Set_1/oxide/N500_seed3/finetune_last2/summary.json
oxide,500,4,450,50,1484,50,16,16,50.0,0.0001,0.036199952702438386,0.006217588557758265,0.0118500255048275,cuda,126.86277937889099,Results_Hyperparameter_Set_1/oxide/N500_seed4/finetune_last2/summary.json
oxide,1000,0,900,100,1484,50,16,16,,0.0001,0.04637412279150813,0.027300261870130068,0.025852453229682788,cpu,1946.9683768749237,Results_Hyperparameter_Set_1/oxide/N1000_seed0/finetune_last2/summary.json
oxide,1000,1,900,100,1484,50,16,16,,0.0001,0.04565289398800265,0.028524171863165165,0.03382121053125177,cpu,1700.8485629558563,Results_Hyperparameter_Set_1/oxide/N1000_seed1/finetune_last2/summary.json
oxide,1000,2,900,100,1484,50,16,16,,0.0001,0.0446569330504257,0.02373924717733947,0.027727057891232625,cpu,1716.37748837471,Results_Hyperparameter_Set_1/oxide/N1000_seed2/finetune_last2/summary.json
oxide,1000,3,900,100,1484,50,16,16,27.0,0.0001,0.035967013940015544,0.00974812548659328,0.012819361473832811,cuda,216.23325538635254,Results_Hyperparameter_Set_1/oxide/N1000_seed3/finetune_last2/summary.json
oxide,1000,4,900,100,1484,50,16,16,44.0,0.0001,0.03581004907678928,0.007426757268711097,0.009569591443453516,cuda,216.4625895023346,Results_Hyperparameter_Set_1/oxide/N1000_seed4/finetune_last2/summary.json
