embedding_source,distance_metric,distance_label,statistic,comparison,value,ci_low,ci_high,ci_level,p_value,p_value_bh_fdr_within_statistic,p_value_method,test_alternative,n_nitrides,n_oxide_reference,hard_nitrides_count,easy_nitrides_count,k_oxide_neighbors,analysis_space,error_metric,hard_group_distance_summary,easy_group_distance_summary,mahalanobis_status,mahalanobis_condition_number,mahalanobis_shrinkage
last_alignn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,4.580062778138583,1.5396061052954169,7.52579655659286,0.95,0.0024997500249975004,0.002812218778122188,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,36.86538613347714,32.285323355338555,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,5.451899345543151,1.001831702327003,8.377520655518044,0.95,0.0011998800119988001,0.0017998200179982,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,37.05964502420598,31.607745678662827,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_gcn_pool,oxide_centroid_distance,Oxide centroid distance,spearman_correlation,nitride_abs_error_vs_distance,0.2568266173195131,0.13408169003070067,0.3701279618094866,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_centroid_distance,Oxide centroid distance,pearson_correlation,nitride_abs_error_vs_distance,0.3038407671677763,0.20812126781599266,0.39923809094302204,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,1.221454450686318,0.5996476119285168,1.8273277676007456,0.95,9.999000099990002e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.91281087549338,6.691356424807062,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,1.1068580924646865,0.25700808780629547,2.254457441876526,0.95,0.001999800019998,0.00224977502249775,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.890359234524937,6.783501142060251,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,spearman_correlation,nitride_abs_error_vs_distance,0.4073794654707518,0.29374139998877496,0.5134266265969871,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,pearson_correlation,nitride_abs_error_vs_distance,0.33897572472578397,0.2516477151919475,0.4346078057018623,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,0.9471743398604149,0.5925374687538068,1.3243031895649227,0.95,9.999000099990002e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,4.581252288415061,3.634077948554646,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,0.9314091955025185,0.38747549658008396,1.29449647622156,0.95,9.999000099990002e-05,0.00029997000299970003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,4.508779807548107,3.5773706120455886,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,spearman_correlation,nitride_abs_error_vs_distance,0.3028783158294035,0.1821458867793156,0.42006131777169453,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,pearson_correlation,nitride_abs_error_vs_distance,0.3035761211812518,0.1919127583045057,0.41249390070961983,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,5.6805293073286975,2.64532114659259,8.623017373717724,0.95,0.00019998000199980003,0.00029997000299970003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,33.39454601657888,27.71401670925018,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_gcn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,6.283088021725806,2.8708303870252934,9.037035510112858,0.95,0.0011998800119988001,0.0017998200179982,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,33.08814327184146,26.805055250115654,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
